ID;caption;Description;english 
75;menu_casting_caption;Заголовок меню кастинга;Preproduction
76;menu_casting_tooltip_script;Тултип для выбора сценария;(1/3) Select a script.
77;menu_casting_helper;Слова помощника в первом экране;Let's start postproduction process. There are 3 simple steps: select a script, a crew and set background.
;menu_casting_tooltip_badgenre;;This character doesn't like the genre. Don't expect the best performance!
78;menu_casting_tooltip_crew;Тултип для выбора команды;(2/3) Pick your crew.
79;menu_casting_tooltip_setting;Тултип для выбора декораций;(3/3) Choose set background.
80;menu_casting_char_btn;Кнопка финального подтрвеждения;Ok
81;menu_casting_btn;Кнопка финального подтверждения в меню кастинга;Film it!
82;menu_casting_script_btn;Кнопка выбора другого сценария для кастинга;Pick another script
83;;Меню выбора декораций;
84;menu_decor_caption1;Заголовок 1 экрана меню выбора декораций;Choose setting for your scene
85;menu_decor_caption2;Заголовок 2 экрана меню выбора декораций;Choose decorations
86;menu_decor_btn1;Кнопка в 1 экране меню выбора декораций;Ok!
87;menu_decor_btn2;Кнопка во 2 экране меню выбора декораций;Shoot it!
88;menu_decor_hp;Параметр Maintenance для декораций;Maintenance
89;menu_decor_howmuch;Кол-во декораций у игрока на данный момент;You have:
90;menu_decor_btn3;Кнопка для открытия закрытой декорации;Open
91;;Меню работ на этажах;
92;menu_work_time;Название для времени;Time:
93;menu_work_reward;Название для прибыли от работы;Reward:
94;menu_work_dropch;Название для шансов дропа;Drop chance:
95;menu_work_exp;Экспа!!1;XP
96;menu_work_btn;Финальная кнопка подтверждения начала работы;Get to work
97;menu_work_btn2;Кнопка быстрой остановки работы;Finish now!
;;Меню работ на этажах;
;menu_decor_collection_line1;Предложение купить предмет;You can find this item by taking#some contracts
;menu_decor_collection_line2;;Or you can buy it right now
;menu_decor_collection_btn;Кнопка покупки предмета;Buy
;menu_decor_colletion_btn2;Кнопка крафта декорации;Craft
;;Меню работ на этажах;
;menu_postprod_caption1;Выбор фильма для постпрода;Select a movie for postproduction
;menu_postprod_caption2;Выбор постпродов с числами;Pick a postprod. Specialist
;menu_postprod_caption2-1-1;;Pick a postprod. specialist (1/1)
;menu_postprod_caption2-0-2;;Pick a postprod. specialist (0/2)
;menu_postprod_caption2-1-2;;Pick a postprod. specialist (1/2)
;menu_postprod_caption2-2-2;;Pick a postprod. specialist (2/2)
;menu_postprod_caption2-0-3;;Pick a postprod. specialist (0/3)
;menu_postprod_caption2-1-3;;Pick a postprod. specialist (1/3)
;menu_postprod_caption2-2-3;;Pick a postprod. specialist (2/3)
;menu_postprod_caption2-3-3;;Pick a postprod. specialist (3/3)
;menu_postprod_btn;Финальная кнопка подтверждения постпродакшена;Do it!
;;Меню работ на этажах;
;map_buy_city;Предложение открыть город;Do you want to open it?
;map_buy_region;Предложение открыть регион;Are you ready to expand your#movie empire to this region?
;map_buy_btn;Кнопка подтверждения;Yes!
;;Меню работ на этажах;
;info_time;Сколько осталось времени?;Time remaining:
;info_bld_contract;Заголовок открытия контракта в инфе о строительстве/апгрейде;Contract unlock
;;Информация на карточках пероснажей;
;char_lvlup;Надпись на кнопке левелапа персонажа;Level up!
;char_reset;Сброс выбора очков левелапа;Reset
;char_train;Подтрвеждение выбора очков левелапа;Train
;char_points;Название для кол-ва очков, доступных для левелапа;Points:
;char_training;Название для процесса левелапа на карточке персонажа;Training:
;;Кастинг;
;menu_casting_helper_0;;Choose your script
;menu_casting_helper_1;;Choose your crew
;menu_casting_helper_2;;Choose your decoration
;menu_casting_header;;Preproduction
;;Плейны сценарий;
;plane_scene_common_adv_caption;;asdsd
;plane_scene_common_fan_caption;;fsdfdsf
;plane_scene_common_spa_caption;;ssdfgad
;plane_scene_common_mod_caption;;wwerw2
;plane_scene_common_war_caption;;aasdwerwer
;plane_scene_common_his_caption;;werwer
